step,test_acc,test_ece,test_macro_f1,train_loss,val_acc,val_macro_f1
0,0.8517699115044248,0.03913635160543222,0.8528178328036885,1.5630192977789759,0.3968957871396896,0.37480659039387326
1,,,,1.4228580076465962,0.3614190687361419,0.3110311830465641
2,,,,1.3421023817760465,0.37915742793791574,0.367467951268381
3,,,,1.2399231899506602,0.5188470066518847,0.4611970286055894
4,,,,1.1515778915678596,0.4745011086474501,0.4580821568476628
5,,,,1.1147243928841084,0.541019955654102,0.5374263419184514
6,,,,1.009830269065424,0.5942350332594235,0.5920306978281528
7,,,,0.9293354618930225,0.6297117516629712,0.6165375956784394
8,,,,0.9019038688585084,0.6097560975609756,0.6035553408514627
9,,,,0.8197268598353686,0.5787139689578714,0.5691103243574683
10,,,,0.7218783587345238,0.6585365853658537,0.6539631262585752
11,,,,0.7301539165040227,0.6629711751662971,0.6575855467815266
12,,,,0.677885658239602,0.6674057649667405,0.6648275992997529
13,,,,0.6300355073306168,0.70509977827051,0.6910343990607761
14,,,,0.5888755512510417,0.6784922394678492,0.6767782989791123
15,,,,0.5534936641376247,0.7427937915742794,0.7382203247336314
16,,,,0.5463255525601723,0.7028824833702882,0.698256278706861
17,,,,0.45252359749435755,0.7184035476718403,0.7148442192843456
18,,,,0.475813028144592,0.7583148558758315,0.7549011367491767
19,,,,0.4070972598303939,0.7760532150776053,0.7733069983045624
20,,,,0.40392670780065004,0.7738359201773836,0.7686776251477341
21,,,,0.37492113835971075,0.7450110864745011,0.7471657292028249
22,,,,0.3471389572195172,0.7849223946784922,0.7818589559925092
23,,,,0.3577923836309994,0.8004434589800443,0.7986840151798793
24,,,,0.3178629855174743,0.7871396895787139,0.7796803585673633
25,,,,0.32488032387449967,0.7960088691796009,0.7963137058823995
26,,,,0.30742016041000286,0.7849223946784922,0.7819730880098208
27,,,,0.28252423113735164,0.7893569844789357,0.7863658063676142
28,,,,0.2815381842938509,0.7560975609756098,0.7503493918655726
29,,,,0.2599947454239489,0.7649667405764967,0.7626851164268708
30,,,,0.238374763082235,0.8004434589800443,0.7969958039241004
31,,,,0.2525229458872568,0.8226164079822617,0.8196615604721448
32,,,,0.21161232880648878,0.7937915742793792,0.7914626933144959
33,,,,0.22936347298313894,0.8248337028824834,0.8222786679854742
34,,,,0.20937996362653527,0.835920177383592,0.8347323209195865
35,,,,0.19301620785912618,0.8425720620842572,0.8409399954923782
36,,,,0.1949474250184506,0.8248337028824834,0.8256553094528802
37,,,,0.1880014349246122,0.844789356984479,0.8438526936019404
38,,,,0.19113342585748272,0.8137472283813747,0.8127659495591439
39,,,,0.18531666702466973,0.8270509977827051,0.8235940299613802
40,,,,0.1838948120701477,0.8070953436807096,0.808447972727899
41,,,,0.21059666328668653,0.8070953436807096,0.8070244644277068
42,,,,0.1474527437231003,0.8203991130820399,0.821041549927233
43,,,,0.21907824901014133,0.8270509977827051,0.8250795458112531
44,,,,0.15427605972639083,0.8403547671840355,0.8382071077954437
45,,,,0.15324525699636982,0.8270509977827051,0.8251217883788883
46,,,,0.14949560565114534,0.8337028824833703,0.8320675002091716
47,,,,0.15618744441876176,0.8425720620842572,0.838830619948338
48,,,,0.12120295209347363,0.8203991130820399,0.8181687386946657
49,,,,0.13664576011649024,0.8248337028824834,0.8226166993601292
50,,,,0.11900104672368435,0.8203991130820399,0.8176241964333499
51,,,,0.12205285128971236,0.811529933481153,0.8084860496284019
52,,,,0.15599393596097752,0.8070953436807096,0.806856384145952
53,,,,0.13101800090580482,0.8270509977827051,0.8275354797263198
54,,,,0.11963819419391343,0.8381374722838137,0.8378379972460902
55,,,,0.14311274240212227,0.844789356984479,0.8450411534991332
56,,,,0.106803939477837,0.8270509977827051,0.8254652235233667
57,,,,0.13072854007673007,0.8580931263858093,0.8557534110757878
58,,,,0.1365225382230716,0.8558758314855875,0.8534924012388361
59,,,,0.10324624506777222,0.8137472283813747,0.8145198785486956
60,,,,0.09983027990925668,0.8159645232815964,0.8141495701482071
61,,,,0.12060466760073993,0.8270509977827051,0.8281555392319756
62,,,,0.09059057297281882,0.7937915742793792,0.7917593327080141
63,,,,0.11426108557076167,0.811529933481153,0.8115646268375144
64,,,,0.13721968236250087,0.8337028824833703,0.8339819841802395
65,,,,0.08830958900552563,0.8514412416851441,0.8534661605792639
66,,,,0.11181486160719849,0.8625277161862528,0.861460863608753
67,,,,0.0769131652691966,0.8470066518847007,0.8478384785611468
68,,,,0.08845287420352567,0.8403547671840355,0.8381321253249677
69,,,,0.08587230647724721,0.844789356984479,0.8437752630229577
70,,,,0.09437850977712096,0.8802660753880266,0.8787905088111433
71,,,,0.08662263685406363,0.8514412416851441,0.8497035731841758
72,,,,0.09717922358656844,0.8558758314855875,0.8555899013010071
73,,,,0.09092637452682355,0.8337028824833703,0.8305596541340607
74,,,,0.07119233187558516,0.8603104212860311,0.8591590096521845
75,,,,0.09031493840476557,0.8292682926829268,0.8308148005133754
76,,,,0.09524748745982425,0.8381374722838137,0.8378378489382842
77,,,,0.07980396865484746,0.8270509977827051,0.8259652616302944
78,,,,0.11692347397612968,0.8425720620842572,0.8414010296051373
79,,,,0.07830713014538901,0.844789356984479,0.8440511193436567
80,,,,0.08653913420569183,0.8181818181818182,0.8170374873611059
81,,,,0.08762378471977449,0.8292682926829268,0.8289945740969884
82,,,,0.0757293528461929,0.8270509977827051,0.8250068354377135
83,,,,0.08558926060788567,0.8470066518847007,0.8456594927151924
84,,,,0.08530846521974278,0.8181818181818182,0.8166586037348587
85,,,,0.1299383069507815,0.8159645232815964,0.8127330946065225
86,,,,0.07103006041204156,0.8580931263858093,0.8568563829584495
87,,,,0.08722912022176886,0.8536585365853658,0.851277494979626
88,,,,0.0721252191545105,0.8625277161862528,0.861624110351223
89,,,,0.08130504537780588,0.8603104212860311,0.8592118057342862
90,,,,0.06177101839187574,0.8669623059866962,0.8661167152471501
91,,,,0.05088109168227146,0.8492239467849224,0.8468350832059809
92,,,,0.06251355116774839,0.8270509977827051,0.8226550524968135
93,,,,0.09842634530776635,0.8314855875831486,0.8295500402917282
94,,,,0.07527183793248893,0.8203991130820399,0.8182009448720378
95,,,,0.0653401468889357,0.8603104212860311,0.8589228108167275
